DRVR_LIC_STATE_ID,count
Texas,53319
NA,2793
Unknown,308
Mexico,241
New Mexico,233
Louisiana,233
California,170
Oklahoma,157
Florida,153
Arkansas,115
Other,80
Georgia,78
Arizona,77
Colorado,70
Missouri,57
Illinois,55
Mississippi,48
Kansas,47
Alabama,47
Ohio,46
North Carolina,45
Michigan,43
Tennessee,43
Washington,42
Virginia,41
New York,32
Minnesota,27
Nevada,27
Pennsylvania,26
South Carolina,24
Maryland,23
Wisconsin,22
Utah,19
New Jersey,18
Kentucky,17
Indiana,17
Iowa,14
Oregon,13
Connecticut,13
Massachusetts,13
Idaho,10
Hawaii,9
Nebraska,9
Alaska,8
West Virginia,8
North Dakota,7
Montana,7
Wyoming,6
Canada,5
South Dakota,5
Puerto Rico,4
Vermont,3
Rhode Island,3
Maine,3
New Hampshire,3
Delaware,2
American Samoa (Islands),2
District of Columbia,1
